product_cd	category_major_cd	category_medium_cd	category_small_cd	unit_price	unit_cost	category_major_name	category_medium_name	category_small_name
P040802002	4	408	40802	100.0	75.0	惣菜	焼き物	その他やきもの
P040802003	4	408	40802	258.0	194.0	惣菜	焼き物	その他やきもの
P040802004	4	408	40802	368.0	276.0	惣菜	焼き物	その他やきもの
P040802005	4	408	40802	368.0	276.0	惣菜	焼き物	その他やきもの
P040802006	4	408	40802	438.0	329.0	惣菜	焼き物	その他やきもの
P040802007	4	408	40802			惣菜	焼き物	その他やきもの
P041302001	4	413	41302	450.0	338.0	惣菜	その他	その他
P050101001	5	501	50101	40.0	30.0	和日配	水物	豆腐
P050101002	5	501	50101	128.0	96.0	和日配	水物	豆腐
P050101003	5	501	50101	138.0	104.0	和日配	水物	豆腐
P050101004	5	501	50101	138.0	104.0	和日配	水物	豆腐
P050101005	5	501	50101	145.0	109.0	和日配	水物	豆腐
P050101006	5	501	50101	158.0	119.0	和日配	水物	豆腐
P050101007	5	501	50101	168.0	126.0	和日配	水物	豆腐
P050101008	5	501	50101	168.0	126.0	和日配	水物	豆腐
P050101009	5	501	50101	208.0	156.0	和日配	水物	豆腐
P050102001	5	501	50102	60.0	45.0	和日配	水物	油揚げ・がんも
P050102002	5	501	50102	138.0	104.0	和日配	水物	油揚げ・がんも
P050102003	5	501	50102	185.0	139.0	和日配	水物	油揚げ・がんも
P050102004	5	501	50102	188.0	141.0	和日配	水物	油揚げ・がんも
P050102005	5	501	50102	198.0	149.0	和日配	水物	油揚げ・がんも
P050102006	5	501	50102	215.0	161.0	和日配	水物	油揚げ・がんも
P050103001	5	501	50103	78.0	59.0	和日配	水物	コンニャク
P050103002	5	501	50103	80.0	60.0	和日配	水物	コンニャク
P050103003	5	501	50103	88.0	66.0	和日配	水物	コンニャク
P050103004	5	501	50103	110.0	83.0	和日配	水物	コンニャク
P050103005	5	501	50103	128.0	96.0	和日配	水物	コンニャク
P050103006	5	501	50103	128.0	96.0	和日配	水物	コンニャク
P050103007	5	501	50103	128.0	96.0	和日配	水物	コンニャク
P050103008	5	501	50103	128.0	96.0	和日配	水物	コンニャク
P050103009	5	501	50103	128.0	96.0	和日配	水物	コンニャク
P050103010	5	501	50103	130.0	98.0	和日配	水物	コンニャク
P050103011	5	501	50103	135.0	101.0	和日配	水物	コンニャク
P050103012	5	501	50103	148.0	111.0	和日配	水物	コンニャク
P050103013	5	501	50103	148.0	111.0	和日配	水物	コンニャク
P050103014	5	501	50103	158.0	119.0	和日配	水物	コンニャク
P050103015	5	501	50103	158.0	119.0	和日配	水物	コンニャク
P050103016	5	501	50103	165.0	124.0	和日配	水物	コンニャク
P050103017	5	501	50103	215.0	161.0	和日配	水物	コンニャク
P050103018	5	501	50103	235.0	176.0	和日配	水物	コンニャク
P050103019	5	501	50103	245.0	184.0	和日配	水物	コンニャク
P050103020	5	501	50103	268.0	201.0	和日配	水物	コンニャク
P050103021	5	501	50103			和日配	水物	コンニャク
P050104001	5	501	50104	115.0	86.0	和日配	水物	その他水物
P050104002	5	501	50104	115.0	86.0	和日配	水物	その他水物
P050104003	5	501	50104	118.0	89.0	和日配	水物	その他水物
P050104004	5	501	50104	138.0	104.0	和日配	水物	その他水物
P050104005	5	501	50104	138.0	104.0	和日配	水物	その他水物
P050104006	5	501	50104	188.0	141.0	和日配	水物	その他水物
P050104007	5	501	50104	188.0	141.0	和日配	水物	その他水物
P050104008	5	501	50104	188.0	141.0	和日配	水物	その他水物
P050104009	5	501	50104	188.0	141.0	和日配	水物	その他水物
P050104010	5	501	50104	210.0	158.0	和日配	水物	その他水物
P050104011	5	501	50104	210.0	158.0	和日配	水物	その他水物
P050104012	5	501	50104	740.0	555.0	和日配	水物	その他水物
P050201001	5	502	50201	138.0	104.0	和日配	漬物	ぬか漬け
P050201002	5	502	50201	188.0	141.0	和日配	漬物	ぬか漬け
P050201003	5	502	50201	195.0	146.0	和日配	漬物	ぬか漬け
P050201004	5	502	50201	195.0	146.0	和日配	漬物	ぬか漬け
P050201005	5	502	50201	198.0	149.0	和日配	漬物	ぬか漬け
P050201006	5	502	50201	218.0	164.0	和日配	漬物	ぬか漬け
P050201007	5	502	50201	220.0	165.0	和日配	漬物	ぬか漬け
P050201008	5	502	50201	228.0	171.0	和日配	漬物	ぬか漬け
P050201009	5	502	50201	235.0	176.0	和日配	漬物	ぬか漬け
P050201010	5	502	50201	238.0	179.0	和日配	漬物	ぬか漬け
P050201011	5	502	50201	450.0	338.0	和日配	漬物	ぬか漬け
P050202001	5	502	50202	120.0	90.0	和日配	漬物	塩漬け
P050202002	5	502	50202	145.0	109.0	和日配	漬物	塩漬け
P050202003	5	502	50202	155.0	116.0	和日配	漬物	塩漬け
P050202004	5	502	50202	155.0	116.0	和日配	漬物	塩漬け
P050202005	5	502	50202	160.0	120.0	和日配	漬物	塩漬け
P050202006	5	502	50202	185.0	139.0	和日配	漬物	塩漬け
P050202007	5	502	50202	188.0	141.0	和日配	漬物	塩漬け
P050202008	5	502	50202	188.0	141.0	和日配	漬物	塩漬け
P050202009	5	502	50202	198.0	149.0	和日配	漬物	塩漬け
P050202010	5	502	50202	198.0	149.0	和日配	漬物	塩漬け
P050202011	5	502	50202	198.0	149.0	和日配	漬物	塩漬け
P050202012	5	502	50202	198.0	149.0	和日配	漬物	塩漬け
P050202013	5	502	50202	198.0	149.0	和日配	漬物	塩漬け
P050202014	5	502	50202	208.0	156.0	和日配	漬物	塩漬け
P050202015	5	502	50202	208.0	156.0	和日配	漬物	塩漬け
P050202016	5	502	50202	220.0	165.0	和日配	漬物	塩漬け
P050202017	5	502	50202	220.0	165.0	和日配	漬物	塩漬け
P050202018	5	502	50202	228.0	171.0	和日配	漬物	塩漬け
P050202019	5	502	50202	235.0	176.0	和日配	漬物	塩漬け
P050202020	5	502	50202	235.0	176.0	和日配	漬物	塩漬け
P050202021	5	502	50202	235.0	176.0	和日配	漬物	塩漬け
P050202022	5	502	50202	235.0	176.0	和日配	漬物	塩漬け
P050202023	5	502	50202	235.0	176.0	和日配	漬物	塩漬け
P050202024	5	502	50202	268.0	201.0	和日配	漬物	塩漬け
P050202025	5	502	50202	298.0	224.0	和日配	漬物	塩漬け
P050202026	5	502	50202	298.0	224.0	和日配	漬物	塩漬け
P050202027	5	502	50202	308.0	231.0	和日配	漬物	塩漬け
P050202028	5	502	50202	325.0	244.0	和日配	漬物	塩漬け
P050202029	5	502	50202	338.0	254.0	和日配	漬物	塩漬け
P050202030	5	502	50202	378.0	284.0	和日配	漬物	塩漬け
P050202031	5	502	50202	438.0	329.0	和日配	漬物	塩漬け
P050202032	5	502	50202	530.0	398.0	和日配	漬物	塩漬け
P050202033	5	502	50202	618.0	464.0	和日配	漬物	塩漬け
P050202034	5	502	50202	688.0	516.0	和日配	漬物	塩漬け
P050202035	5	502	50202	688.0	516.0	和日配	漬物	塩漬け
P050202036	5	502	50202	960.0	720.0	和日配	漬物	塩漬け
P050202037	5	502	50202	980.0	735.0	和日配	漬物	塩漬け
P050203001	5	502	50203	145.0	109.0	和日配	漬物	醤油漬け
P050203002	5	502	50203	150.0	113.0	和日配	漬物	醤油漬け
P050203003	5	502	50203	155.0	116.0	和日配	漬物	醤油漬け
P050203004	5	502	50203	155.0	116.0	和日配	漬物	醤油漬け
P050203005	5	502	50203	178.0	134.0	和日配	漬物	醤油漬け
P050203006	5	502	50203	178.0	134.0	和日配	漬物	醤油漬け
P050203007	5	502	50203	178.0	134.0	和日配	漬物	醤油漬け
P050203008	5	502	50203	188.0	141.0	和日配	漬物	醤油漬け
P050203009	5	502	50203	198.0	149.0	和日配	漬物	醤油漬け
P050203010	5	502	50203	208.0	156.0	和日配	漬物	醤油漬け
P050203011	5	502	50203	208.0	156.0	和日配	漬物	醤油漬け
P050203012	5	502	50203	220.0	165.0	和日配	漬物	醤油漬け
P050203013	5	502	50203	220.0	165.0	和日配	漬物	醤油漬け
P050203014	5	502	50203	228.0	171.0	和日配	漬物	醤油漬け
P050203015	5	502	50203	248.0	186.0	和日配	漬物	醤油漬け
P050203016	5	502	50203	260.0	195.0	和日配	漬物	醤油漬け
P050203017	5	502	50203	260.0	195.0	和日配	漬物	醤油漬け
P050203018	5	502	50203	265.0	199.0	和日配	漬物	醤油漬け
P050203019	5	502	50203	288.0	216.0	和日配	漬物	醤油漬け
P050203020	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203021	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203022	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203023	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203024	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203025	5	502	50203	298.0	224.0	和日配	漬物	醤油漬け
P050203026	5	502	50203	308.0	231.0	和日配	漬物	醤油漬け
P050203027	5	502	50203	325.0	244.0	和日配	漬物	醤油漬け
P050203028	5	502	50203	338.0	254.0	和日配	漬物	醤油漬け
P050204001	5	502	50204	150.0	113.0	和日配	漬物	粕漬け
P050204002	5	502	50204	155.0	116.0	和日配	漬物	粕漬け
P050204003	5	502	50204	180.0	135.0	和日配	漬物	粕漬け
P050204004	5	502	50204	218.0	164.0	和日配	漬物	粕漬け
P050204005	5	502	50204	218.0	164.0	和日配	漬物	粕漬け
P050204006	5	502	50204	268.0	201.0	和日配	漬物	粕漬け
P050204007	5	502	50204	268.0	201.0	和日配	漬物	粕漬け
P050204008	5	502	50204	295.0	221.0	和日配	漬物	粕漬け
P050205001	5	502	50205	148.0	111.0	和日配	漬物	酢漬け
P050205002	5	502	50205	198.0	149.0	和日配	漬物	酢漬け
P050205003	5	502	50205	230.0	173.0	和日配	漬物	酢漬け
P050205004	5	502	50205	258.0	194.0	和日配	漬物	酢漬け
P050205005	5	502	50205	258.0	194.0	和日配	漬物	酢漬け
P050205006	5	502	50205	298.0	224.0	和日配	漬物	酢漬け
P050205007	5	502	50205	310.0	233.0	和日配	漬物	酢漬け
P050205008	5	502	50205	398.0	299.0	和日配	漬物	酢漬け
P050205009	5	502	50205	548.0	411.0	和日配	漬物	酢漬け
P050206001	5	502	50206	198.0	149.0	和日配	漬物	味噌漬け
P050207001	5	502	50207	130.0	98.0	和日配	漬物	その他漬物
P050207002	5	502	50207	155.0	116.0	和日配	漬物	その他漬物
P050207003	5	502	50207	155.0	116.0	和日配	漬物	その他漬物
P050207004	5	502	50207	198.0	149.0	和日配	漬物	その他漬物
P050207005	5	502	50207	208.0	156.0	和日配	漬物	その他漬物
P050207006	5	502	50207	208.0	156.0	和日配	漬物	その他漬物
P050207007	5	502	50207	208.0	156.0	和日配	漬物	その他漬物
P050207008	5	502	50207	208.0	156.0	和日配	漬物	その他漬物
P050207009	5	502	50207	270.0	203.0	和日配	漬物	その他漬物
P050207010	5	502	50207	270.0	203.0	和日配	漬物	その他漬物
P050207011	5	502	50207	285.0	214.0	和日配	漬物	その他漬物
P050207012	5	502	50207	288.0	216.0	和日配	漬物	その他漬物
P050207013	5	502	50207	288.0	216.0	和日配	漬物	その他漬物
P050207014	5	502	50207	348.0	261.0	和日配	漬物	その他漬物
P050207015	5	502	50207	355.0	266.0	和日配	漬物	その他漬物
P050207016	5	502	50207	368.0	276.0	和日配	漬物	その他漬物
P050207017	5	502	50207	378.0	284.0	和日配	漬物	その他漬物
P050207018	5	502	50207	378.0	284.0	和日配	漬物	その他漬物
P050207019	5	502	50207	388.0	291.0	和日配	漬物	その他漬物
P050207020	5	502	50207	388.0	291.0	和日配	漬物	その他漬物
P050207021	5	502	50207	388.0	291.0	和日配	漬物	その他漬物
P050207022	5	502	50207	398.0	299.0	和日配	漬物	その他漬物
P050207023	5	502	50207	480.0	360.0	和日配	漬物	その他漬物
P050207024	5	502	50207	498.0	374.0	和日配	漬物	その他漬物
P050207025	5	502	50207	498.0	374.0	和日配	漬物	その他漬物
P050207026	5	502	50207	538.0	404.0	和日配	漬物	その他漬物
P050301001	5	503	50301	25.0	19.0	和日配	生麺	生うどん
P050301002	5	503	50301	65.0	49.0	和日配	生麺	生うどん
P050301003	5	503	50301	65.0	49.0	和日配	生麺	生うどん
P050301004	5	503	50301	65.0	49.0	和日配	生麺	生うどん
P050301005	5	503	50301	70.0	53.0	和日配	生麺	生うどん
P050301006	5	503	50301	75.0	56.0	和日配	生麺	生うどん
P050301007	5	503	50301	75.0	56.0	和日配	生麺	生うどん
P050301008	5	503	50301	78.0	59.0	和日配	生麺	生うどん
P050301009	5	503	50301	98.0	74.0	和日配	生麺	生うどん
P050301010	5	503	50301	108.0	81.0	和日配	生麺	生うどん
P050301011	5	503	50301	120.0	90.0	和日配	生麺	生うどん
P050301012	5	503	50301	128.0	96.0	和日配	生麺	生うどん
P050301013	5	503	50301	128.0	96.0	和日配	生麺	生うどん
P050301014	5	503	50301	138.0	104.0	和日配	生麺	生うどん
P050301015	5	503	50301	138.0	104.0	和日配	生麺	生うどん
P050301016	5	503	50301	138.0	104.0	和日配	生麺	生うどん
P050301017	5	503	50301	138.0	104.0	和日配	生麺	生うどん
P050301018	5	503	50301	138.0	104.0	和日配	生麺	生うどん
P050301019	5	503	50301	148.0	111.0	和日配	生麺	生うどん
P050301020	5	503	50301	158.0	119.0	和日配	生麺	生うどん
P050301021	5	503	50301	188.0	141.0	和日配	生麺	生うどん
P050301022	5	503	50301	188.0	141.0	和日配	生麺	生うどん
P050301023	5	503	50301	188.0	141.0	和日配	生麺	生うどん
P050301024	5	503	50301	188.0	141.0	和日配	生麺	生うどん
P050301025	5	503	50301	188.0	141.0	和日配	生麺	生うどん
P050301026	5	503	50301	198.0	149.0	和日配	生麺	生うどん
P050301027	5	503	50301	198.0	149.0	和日配	生麺	生うどん
P050301028	5	503	50301	198.0	149.0	和日配	生麺	生うどん
P050301029	5	503	50301	198.0	149.0	和日配	生麺	生うどん
P050301030	5	503	50301	198.0	149.0	和日配	生麺	生うどん
P050301031	5	503	50301	208.0	156.0	和日配	生麺	生うどん
P050301032	5	503	50301	228.0	171.0	和日配	生麺	生うどん
P050301033	5	503	50301	238.0	179.0	和日配	生麺	生うどん
P050301034	5	503	50301	248.0	186.0	和日配	生麺	生うどん
P050301035	5	503	50301	248.0	186.0	和日配	生麺	生うどん
P050301036	5	503	50301	258.0	194.0	和日配	生麺	生うどん
P050301037	5	503	50301	278.0	209.0	和日配	生麺	生うどん
P050301038	5	503	50301	278.0	209.0	和日配	生麺	生うどん
P050302001	5	503	50302	80.0	60.0	和日配	生麺	生そば
P050302002	5	503	50302	95.0	71.0	和日配	生麺	生そば
P050302003	5	503	50302	158.0	119.0	和日配	生麺	生そば
P050302004	5	503	50302	250.0	188.0	和日配	生麺	生そば
P050302005	5	503	50302	298.0	224.0	和日配	生麺	生そば
P050302006	5	503	50302	298.0	224.0	和日配	生麺	生そば
P050303001	5	503	50303	75.0	56.0	和日配	生麺	生ラーメン
P050303002	5	503	50303	105.0	79.0	和日配	生麺	生ラーメン
P050303003	5	503	50303	128.0	96.0	和日配	生麺	生ラーメン
P050303004	5	503	50303	128.0	96.0	和日配	生麺	生ラーメン
P050303005	5	503	50303	130.0	98.0	和日配	生麺	生ラーメン
P050303006	5	503	50303	138.0	104.0	和日配	生麺	生ラーメン
P050303007	5	503	50303	138.0	104.0	和日配	生麺	生ラーメン
P050303008	5	503	50303	138.0	104.0	和日配	生麺	生ラーメン
P050303009	5	503	50303	138.0	104.0	和日配	生麺	生ラーメン
P050303010	5	503	50303	158.0	119.0	和日配	生麺	生ラーメン
P050303011	5	503	50303	198.0	149.0	和日配	生麺	生ラーメン
P050303012	5	503	50303	208.0	156.0	和日配	生麺	生ラーメン
P050303013	5	503	50303	208.0	156.0	和日配	生麺	生ラーメン
P050303014	5	503	50303	218.0	164.0	和日配	生麺	生ラーメン
P050303015	5	503	50303	218.0	164.0	和日配	生麺	生ラーメン
P050303016	5	503	50303	228.0	171.0	和日配	生麺	生ラーメン
P050303017	5	503	50303	235.0	176.0	和日配	生麺	生ラーメン
