category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name
07,瓶詰缶詰,0706,乾麺,070602,乾パスタ
07,瓶詰缶詰,0707,即席加工品,070701,即席袋めん
07,瓶詰缶詰,0707,即席加工品,070702,即席カップめん
07,瓶詰缶詰,0707,即席加工品,070703,即席スープ類
07,瓶詰缶詰,0707,即席加工品,070704,即席みそ汁
07,瓶詰缶詰,0707,即席加工品,070705,即席パスタ
07,瓶詰缶詰,0707,即席加工品,070706,即席食品
07,瓶詰缶詰,0707,即席加工品,070707,ふりかけ・お茶漬け
07,瓶詰缶詰,0707,即席加工品,070708,米関連即席調味料
07,瓶詰缶詰,0707,即席加工品,070709,料理用即席調味料
07,瓶詰缶詰,0707,即席加工品,070710,その他加工品
07,瓶詰缶詰,0708,コーヒー・お茶,070801,レギュラーコーヒー
07,瓶詰缶詰,0708,コーヒー・お茶,070802,インスタントコーヒー
07,瓶詰缶詰,0708,コーヒー・お茶,070803,紅茶・ココア
07,瓶詰缶詰,0708,コーヒー・お茶,070804,パウダー
07,瓶詰缶詰,0708,コーヒー・お茶,070805,日本茶
07,瓶詰缶詰,0708,コーヒー・お茶,070806,中国・健康茶
07,瓶詰缶詰,0708,コーヒー・お茶,070807,その他
07,瓶詰缶詰,0709,嗜好品,070901,ジャム類
07,瓶詰缶詰,0709,嗜好品,070902,デザートミックス
07,瓶詰缶詰,0709,嗜好品,070903,プレミックス
07,瓶詰缶詰,0709,嗜好品,070904,ケーキ・パン材料
07,瓶詰缶詰,0709,嗜好品,070905,その他嗜好品
07,瓶詰缶詰,0710,飲料,071001,果汁・清涼飲料
07,瓶詰缶詰,0710,飲料,071002,炭酸飲料
07,瓶詰缶詰,0710,飲料,071003,機能性飲料ドリンク
07,瓶詰缶詰,0710,飲料,071004,コーヒー飲料
07,瓶詰缶詰,0710,飲料,071005,お茶飲料
07,瓶詰缶詰,0710,飲料,071006,水
07,瓶詰缶詰,0710,飲料,071007,その他飲料
07,瓶詰缶詰,0711,栄養補助剤,071101,ビタミン補助剤
07,瓶詰缶詰,0711,栄養補助剤,071102,カルシウム補助剤
07,瓶詰缶詰,0711,栄養補助剤,071103,その他栄養補助剤
07,瓶詰缶詰,0712,ベビーフード,071201,粉ミルク
07,瓶詰缶詰,0712,ベビーフード,071202,ベビーフード
07,瓶詰缶詰,0712,ベビーフード,071203,その他補給剤
07,瓶詰缶詰,0713,米,071301,米
07,瓶詰缶詰,0713,米,071302,その他米加工品
07,瓶詰缶詰,0714,タバコ,071401,タバコ
08,菓子,0801,ポケット物,080101,チョコレート菓子
08,菓子,0801,ポケット物,080102,キャンディー
08,菓子,0801,ポケット物,080103,ガム
08,菓子,0801,ポケット物,080104,玩具菓子
08,菓子,0801,ポケット物,080105,その他ポケット物
08,菓子,0802,スナック,080201,ポテトチップス
08,菓子,0802,スナック,080202,スナック類
08,菓子,0802,スナック,080203,その他スナック
08,菓子,0803,チョコ菓子,080301,袋チョコレート
08,菓子,0803,チョコ菓子,080302,その他チョコ
08,菓子,0804,ビスケット,080401,ビスケット・クッキー
08,菓子,0804,ビスケット,080402,クラッカー
08,菓子,0804,ビスケット,080403,油菓子
08,菓子,0804,ビスケット,080404,その他
08,菓子,0805,駄菓子,080501,羊羹・最中
08,菓子,0805,駄菓子,080502,ドーナツ
08,菓子,0805,駄菓子,080503,常温デザート・ケーキ
08,菓子,0805,駄菓子,080504,その他駄菓子
08,菓子,0806,豆菓子,080601,落花生
08,菓子,0806,豆菓子,080602,ナッツ類
08,菓子,0806,豆菓子,080603,その他豆菓子
08,菓子,0807,米菓子,080701,あられ・おかき
08,菓子,0807,米菓子,080702,煎餅
08,菓子,0807,米菓子,080703,その他米菓子
08,菓子,0808,珍味,080801,水産珍味
08,菓子,0808,珍味,080802,畜産珍味
08,菓子,0808,珍味,080803,漬物珍味
08,菓子,0808,珍味,080804,ドライフルーツ
08,菓子,0808,珍味,080805,その他珍味
08,菓子,0809,その他菓子,080901,菓子詰め合わせ
08,菓子,0809,その他菓子,080903,その他
09,洗剤,0901,洗剤,090102,洗濯用洗剤
09,洗剤,0901,洗剤,090103,台所用洗剤
09,洗剤,0902,石鹸・シャンプーリンス,090201,化粧石鹸
09,洗剤,0902,石鹸・シャンプーリンス,090202,ボディシャンプー
09,洗剤,0902,石鹸・シャンプーリンス,090203,入浴剤
09,洗剤,0902,石鹸・シャンプーリンス,090204,シャンプー
09,洗剤,0902,石鹸・シャンプーリンス,090205,ヘアリンス
09,洗剤,0902,石鹸・シャンプーリンス,090206,トリートメント
09,洗剤,0903,口中衛生用品,090301,歯磨き
09,洗剤,0903,口中衛生用品,090302,歯ブラシ
09,洗剤,0903,口中衛生用品,090303,口中清涼剤
09,洗剤,0903,口中衛生用品,090304,義歯用剤
09,洗剤,0904,衛生紙用品,090401,ティッシュペーパー
09,洗剤,0904,衛生紙用品,090402,ペーパータオル
09,洗剤,0904,衛生紙用品,090403,トイレットペーパー
09,洗剤,0904,衛生紙用品,090404,紙オムツ
09,洗剤,0904,衛生紙用品,090405,ちり紙・京花紙
09,洗剤,0907,防虫・芳香・消臭剤,090701,殺虫剤
09,洗剤,0907,防虫・芳香・消臭剤,090702,防虫剤
09,洗剤,0907,防虫・芳香・消臭剤,090703,消臭剤
09,洗剤,0907,防虫・芳香・消臭剤,090704,芳香剤
09,洗剤,0908,家庭雑貨,090801,清掃手入れ用品
09,洗剤,0908,家庭雑貨,090802,洗濯・物干し用品
09,洗剤,0908,家庭雑貨,090803,トイレ用品
09,洗剤,0908,家庭雑貨,090804,洗面・浴室用品
09,洗剤,0908,家庭雑貨,090805,衣料収納・保存用品
09,洗剤,0908,家庭雑貨,090806,家庭消耗雑貨
09,洗剤,0908,家庭雑貨,090807,カイロ類
09,洗剤,0908,家庭雑貨,090808,喫煙用具
09,洗剤,0909,台所用品,090901,調理鍋・釜類
09,洗剤,0909,台所用品,090902,刃物類
09,洗剤,0909,台所用品,090903,調理補助器具キッチンシール
09,洗剤,0909,台所用品,090904,調理用消耗品
09,洗剤,0909,台所用品,090905,流し用品
09,洗剤,0909,台所用品,090906,食品容器
09,洗剤,0909,台所用品,090907,卓上用品
09,洗剤,0914,ペットフード,091401,ペットフード
09,洗剤,0914,ペットフード,091402,ペット用剤
09,洗剤,0914,ペットフード,091403,ペット用具
09,洗剤,0915,ＤＩＹ用品,091501,建築・塗装材料
09,洗剤,0915,ＤＩＹ用品,091503,園芸用品
