product_cd,category_major_cd,category_medium_cd,category_small_cd,unit_price,unit_cost
P050301002,05,0503,050301,65,49
P050301003,05,0503,050301,65,49
P050301004,05,0503,050301,65,49
P050301005,05,0503,050301,70,53
P050301006,05,0503,050301,75,56
P050301007,05,0503,050301,75,56
P050301008,05,0503,050301,78,59
P050301009,05,0503,050301,98,74
P050301010,05,0503,050301,108,81
P050301011,05,0503,050301,120,90
P050301012,05,0503,050301,128,96
P050301013,05,0503,050301,128,96
P050301014,05,0503,050301,138,104
P050301015,05,0503,050301,138,104
P050301016,05,0503,050301,138,104
P050301017,05,0503,050301,138,104
P050301018,05,0503,050301,138,104
P050301019,05,0503,050301,148,111
P050301020,05,0503,050301,158,119
P050301021,05,0503,050301,188,141
P050301022,05,0503,050301,188,141
P050301023,05,0503,050301,188,141
P050301024,05,0503,050301,188,141
P050301025,05,0503,050301,188,141
P050301026,05,0503,050301,198,149
P050301027,05,0503,050301,198,149
P050301028,05,0503,050301,198,149
P050301029,05,0503,050301,198,149
P050301030,05,0503,050301,198,149
P050301031,05,0503,050301,208,156
P050301032,05,0503,050301,228,171
P050301033,05,0503,050301,238,179
P050301034,05,0503,050301,248,186
P050301035,05,0503,050301,248,186
P050301036,05,0503,050301,258,194
P050301037,05,0503,050301,278,209
P050301038,05,0503,050301,278,209
P050302001,05,0503,050302,80,60
P050302002,05,0503,050302,95,71
P050302003,05,0503,050302,158,119
P050302004,05,0503,050302,250,188
P050302005,05,0503,050302,298,224
P050302006,05,0503,050302,298,224
P050303001,05,0503,050303,75,56
P050303002,05,0503,050303,105,79
P050303003,05,0503,050303,128,96
P050303004,05,0503,050303,128,96
P050303005,05,0503,050303,130,98
P050303006,05,0503,050303,138,104
P050303007,05,0503,050303,138,104
P050303008,05,0503,050303,138,104
P050303009,05,0503,050303,138,104
P050303010,05,0503,050303,158,119
P050303011,05,0503,050303,198,149
P050303012,05,0503,050303,208,156
P050303013,05,0503,050303,208,156
P050303014,05,0503,050303,218,164
P050303015,05,0503,050303,218,164
P050303016,05,0503,050303,228,171
P050303017,05,0503,050303,235,176
P050303018,05,0503,050303,238,179
P050303019,05,0503,050303,248,186
P050303020,05,0503,050303,248,186
P050303021,05,0503,050303,248,186
P050303022,05,0503,050303,248,186
P050303023,05,0503,050303,248,186
P050303024,05,0503,050303,278,209
P050303025,05,0503,050303,278,209
P050303026,05,0503,050303,288,216
P050303027,05,0503,050303,288,216
P050303028,05,0503,050303,388,291
P050303029,05,0503,050303,288,216
P050304001,05,0503,050304,118,89
P050304002,05,0503,050304,138,104
P050304003,05,0503,050304,155,116
P050304004,05,0503,050304,168,126
P050304005,05,0503,050304,195,146
P050304006,05,0503,050304,238,179
P050304007,05,0503,050304,238,179
P050305001,05,0503,050305,58,44
P050305002,05,0503,050305,65,49
P050305003,05,0503,050305,75,56
P050305004,05,0503,050305,75,56
P050305005,05,0503,050305,85,64
P050305006,05,0503,050305,100,75
P050305007,05,0503,050305,108,81
P050305008,05,0503,050305,118,89
P050305009,05,0503,050305,118,89
P050305010,05,0503,050305,138,104
P050401001,05,0504,050401,60,45
P050401002,05,0504,050401,198,149
P050401003,05,0504,050401,248,186
P050401004,05,0504,050401,288,216
P050401005,05,0504,050401,288,216
P050401006,05,0504,050401,498,374
P050402001,05,0504,050402,288,216
P050402002,05,0504,050402,358,269
P050402003,05,0504,050402,480,360
P050402004,05,0504,050402,680,510
P050403001,05,0504,050403,128,96
P050403002,05,0504,050403,128,96
P050403003,05,0504,050403,128,96
P050403004,05,0504,050403,128,96
P050403005,05,0504,050403,180,135
P050403006,05,0504,050403,188,141
P050403007,05,0504,050403,188,141
P050403008,05,0504,050403,188,141
P050403009,05,0504,050403,188,141
P050403010,05,0504,050403,198,149
P050403011,05,0504,050403,198,149
P050403012,05,0504,050403,235,176
P050403013,05,0504,050403,238,179
P050403014,05,0504,050403,248,186
P050403015,05,0504,050403,248,186
P050404001,05,0504,050404,98,74
P050404002,05,0504,050404,100,75
P050404003,05,0504,050404,100,75
P050404004,05,0504,050404,100,75
P050404005,05,0504,050404,108,81
P050404006,05,0504,050404,128,96
P050404007,05,0504,050404,128,96
P050404008,05,0504,050404,128,96
P050404009,05,0504,050404,138,104
P050404010,05,0504,050404,138,104
P050404011,05,0504,050404,148,111
P050404012,05,0504,050404,148,111
P050404013,05,0504,050404,148,111
P050404014,05,0504,050404,148,111
P050404015,05,0504,050404,168,126
P050404016,05,0504,050404,168,126
P050404017,05,0504,050404,168,126
P050404018,05,0504,050404,168,126
P050404019,05,0504,050404,178,134
P050404020,05,0504,050404,178,134
P050404021,05,0504,050404,178,134
P050404022,05,0504,050404,178,134
P050404023,05,0504,050404,178,134
P050404024,05,0504,050404,188,141
P050404025,05,0504,050404,188,141
P050404026,05,0504,050404,188,141
P050404027,05,0504,050404,188,141
P050404028,05,0504,050404,188,141
P050404029,05,0504,050404,188,141
P050404030,05,0504,050404,188,141
P050404031,05,0504,050404,198,149
P050404032,05,0504,050404,198,149
P050404033,05,0504,050404,198,149
P050404034,05,0504,050404,198,149
P050404035,05,0504,050404,198,149
P050404036,05,0504,050404,218,164
P050404037,05,0504,050404,228,171
P050404038,05,0504,050404,248,186
P050404039,05,0504,050404,248,186
P050404040,05,0504,050404,248,186
P050404041,05,0504,050404,268,201
P050404042,05,0504,050404,288,216
P050404043,05,0504,050404,288,216
P050404044,05,0504,050404,368,276
P050405001,05,0504,050405,148,111
P050405002,05,0504,050405,158,119
P050405003,05,0504,050405,168,126
P050405004,05,0504,050405,168,126
P050405005,05,0504,050405,188,141
P050405006,05,0504,050405,208,156
P050405007,05,0504,050405,278,209
P050405008,05,0504,050405,335,251
P050405009,05,0504,050405,,
P050406001,05,0504,050406,98,74
P050406002,05,0504,050406,128,96
P050406003,05,0504,050406,128,96
P050406004,05,0504,050406,128,96
P050406005,05,0504,050406,128,96
P050406006,05,0504,050406,128,96
P050406007,05,0504,050406,128,96
P050406008,05,0504,050406,128,96
P050406009,05,0504,050406,128,96
P050406010,05,0504,050406,128,96
P050406011,05,0504,050406,128,96
P050406012,05,0504,050406,148,111
P050406013,05,0504,050406,148,111
P050406014,05,0504,050406,148,111
P050406015,05,0504,050406,148,111
P050406016,05,0504,050406,148,111
P050406017,05,0504,050406,148,111
P050406018,05,0504,050406,148,111
P050406019,05,0504,050406,148,111
P050406020,05,0504,050406,148,111
P050406021,05,0504,050406,158,119
P050406022,05,0504,050406,168,126
P050406023,05,0504,050406,178,134
P050406024,05,0504,050406,178,134
P050406025,05,0504,050406,188,141
P050406026,05,0504,050406,188,141
P050406027,05,0504,050406,188,141
P050406028,05,0504,050406,188,141
P050406029,05,0504,050406,198,149
P050406030,05,0504,050406,198,149
P050406031,05,0504,050406,198,149
P050406032,05,0504,050406,198,149
P050406033,05,0504,050406,208,156
P050406034,05,0504,050406,208,156
P050406035,05,0504,050406,220,165
P050406036,05,0504,050406,228,171
P050406037,05,0504,050406,228,171
P050406038,05,0504,050406,228,171
P050406039,05,0504,050406,238,179
P050406040,05,0504,050406,238,179
P050406041,05,0504,050406,245,184
P050406042,05,0504,050406,248,186
P050406043,05,0504,050406,258,194
P050406044,05,0504,050406,268,201
P050406045,05,0504,050406,278,209
P050406046,05,0504,050406,288,216
P050406047,05,0504,050406,288,216
P050406048,05,0504,050406,288,216
P050406049,05,0504,050406,288,216
P050406050,05,0504,050406,288,216
P050406051,05,0504,050406,378,284
P050406052,05,0504,050406,378,284
P050406053,05,0504,050406,378,284
P050406054,05,0504,050406,398,299
P050406055,05,0504,050406,398,299
P050406056,05,0504,050406,478,359
P050406057,05,0504,050406,498,374
P050406058,05,0504,050406,498,374
P050406059,05,0504,050406,498,374
P050406060,05,0504,050406,548,411
P050406061,05,0504,050406,598,449
P050406062,05,0504,050406,598,449
P050406063,05,0504,050406,598,449
P050406064,05,0504,050406,598,449
P050406065,05,0504,050406,598,449
P050406066,05,0504,050406,1080,810
P050406067,05,0504,050406,1080,810
P050406068,05,0504,050406,1080,810
P050406069,05,0504,050406,1080,810
P050407001,05,0504,050407,138,104
P050407002,05,0504,050407,138,104
P050407003,05,0504,050407,148,111
P050407004,05,0504,050407,148,111
P050407005,05,0504,050407,178,134
P050407006,05,0504,050407,178,134
P050407007,05,0504,050407,178,134
P050407008,05,0504,050407,178,134
P050407009,05,0504,050407,178,134
P050407010,05,0504,050407,178,134
P050407011,05,0504,050407,178,134
P050407012,05,0504,050407,178,134
P050407013,05,0504,050407,178,134
P050407014,05,0504,050407,198,149
P050407015,05,0504,050407,198,149
P050407016,05,0504,050407,198,149
P050407017,05,0504,050407,198,149
P050407018,05,0504,050407,228,171
P050407019,05,0504,050407,238,179
P050407020,05,0504,050407,258,194
P050407021,05,0504,050407,258,194
P050407022,05,0504,050407,278,209
P050407023,05,0504,050407,288,216
P050407024,05,0504,050407,338,254
P050407025,05,0504,050407,398,299
P050407026,05,0504,050407,398,299
P050407027,05,0504,050407,398,299
P050501001,05,0505,050501,135,101
P050501002,05,0505,050501,135,101
P050501003,05,0505,050501,148,111
P050501004,05,0505,050501,171,128
P050501005,05,0505,050501,198,149
P050501006,05,0505,050501,200,150
P050501007,05,0505,050501,207,155
P050501008,05,0505,050501,207,155
P050501009,05,0505,050501,216,162
P050501010,05,0505,050501,216,162
P050501011,05,0505,050501,216,162
P050501012,05,0505,050501,216,162
P050501013,05,0505,050501,225,169
P050501014,05,0505,050501,225,169
P050501015,05,0505,050501,234,176
P050501016,05,0505,050501,234,176
P050501017,05,0505,050501,234,176
P050501018,05,0505,050501,234,176
P050501019,05,0505,050501,234,176
P050501020,05,0505,050501,234,176
P050501021,05,0505,050501,243,182
P050501022,05,0505,050501,252,189
P050501023,05,0505,050501,252,189
P050501024,05,0505,050501,252,189
P050501025,05,0505,050501,255,191
P050501026,05,0505,050501,268,201
P050501027,05,0505,050501,270,203
P050501028,05,0505,050501,270,203
P050501029,05,0505,050501,298,224
P050501030,05,0505,050501,298,224
P050501031,05,0505,050501,298,224
P050501032,05,0505,050501,298,224
P050501033,05,0505,050501,298,224
P050501034,05,0505,050501,306,230
P050501035,05,0505,050501,315,236
P050501036,05,0505,050501,315,236
P050501037,05,0505,050501,324,243
P050502001,05,0505,050502,135,101
P050502002,05,0505,050502,135,101
P050502003,05,0505,050502,135,101
P050502004,05,0505,050502,135,101
P050502005,05,0505,050502,135,101
P050502006,05,0505,050502,145,109
P050502007,05,0505,050502,153,115
P050502008,05,0505,050502,171,128
P050502009,05,0505,050502,171,128
P050502010,05,0505,050502,171,128
P050502011,05,0505,050502,175,131
P050502012,05,0505,050502,175,131
P050502013,05,0505,050502,175,131
P050502014,05,0505,050502,189,142
P050502015,05,0505,050502,198,149
P050502016,05,0505,050502,198,149
P050502017,05,0505,050502,198,149
P050502018,05,0505,050502,198,149
P050502019,05,0505,050502,198,149
P050502020,05,0505,050502,198,149
P050502021,05,0505,050502,198,149
P050502022,05,0505,050502,198,149
P050502023,05,0505,050502,198,149
P050502024,05,0505,050502,207,155
P050502025,05,0505,050502,207,155
P050502026,05,0505,050502,207,155
P050502027,05,0505,050502,207,155
P050502028,05,0505,050502,216,162
P050502029,05,0505,050502,216,162
P050502030,05,0505,050502,216,162
P050502031,05,0505,050502,216,162
P050502032,05,0505,050502,216,162
P050502033,05,0505,050502,216,162
P050502034,05,0505,050502,225,169
P050502035,05,0505,050502,225,169
P050502036,05,0505,050502,225,169
P050502037,05,0505,050502,225,169
P050502038,05,0505,050502,225,169
P050502039,05,0505,050502,225,169
P050502040,05,0505,050502,225,169
P050502041,05,0505,050502,225,169
P050502042,05,0505,050502,225,169
P050502043,05,0505,050502,225,169
P050502044,05,0505,050502,225,169
P050502045,05,0505,050502,225,169
P050502046,05,0505,050502,225,169
P050502047,05,0505,050502,225,169
P050502048,05,0505,050502,225,169
P050502049,05,0505,050502,225,169
P050502050,05,0505,050502,225,169
P050502051,05,0505,050502,225,169
P050502052,05,0505,050502,225,169
P050502053,05,0505,050502,225,169
P050502054,05,0505,050502,225,169
P050502055,05,0505,050502,225,169
P050502056,05,0505,050502,225,169
P050502057,05,0505,050502,225,169
P050502058,05,0505,050502,230,173
P050502059,05,0505,050502,234,176
P050502060,05,0505,050502,234,176
P050502061,05,0505,050502,234,176
P050502062,05,0505,050502,234,176
P050502063,05,0505,050502,234,176
P050502064,05,0505,050502,234,176
P050502065,05,0505,050502,234,176
P050502066,05,0505,050502,234,176
P050502067,05,0505,050502,234,176
P050502068,05,0505,050502,234,176
P050502069,05,0505,050502,234,176
P050502070,05,0505,050502,234,176
P050502071,05,0505,050502,234,176
P050502072,05,0505,050502,234,176
P050502073,05,0505,050502,234,176
P050502074,05,0505,050502,234,176
P050502075,05,0505,050502,234,176
P050502076,05,0505,050502,234,176
P050502077,05,0505,050502,234,176
P050502078,05,0505,050502,234,176
P050502079,05,0505,050502,234,176
P050502080,05,0505,050502,234,176
P050502081,05,0505,050502,234,176
P050502082,05,0505,050502,243,182
P050502083,05,0505,050502,243,182
P050502084,05,0505,050502,243,182
P050502085,05,0505,050502,243,182
P050502086,05,0505,050502,243,182
P050502087,05,0505,050502,243,182
P050502088,05,0505,050502,243,182
P050502089,05,0505,050502,243,182
P050502090,05,0505,050502,245,184
P050502091,05,0505,050502,245,184
P050502092,05,0505,050502,245,184
P050502093,05,0505,050502,250,188
P050502094,05,0505,050502,250,188
P050502095,05,0505,050502,250,188
P050502096,05,0505,050502,252,189
P050502097,05,0505,050502,252,189
P050502098,05,0505,050502,252,189
P050502099,05,0505,050502,252,189
P050502100,05,0505,050502,252,189
P050502101,05,0505,050502,252,189
P050502102,05,0505,050502,252,189
P050502103,05,0505,050502,252,189
P050502104,05,0505,050502,252,189
P050502105,05,0505,050502,252,189
P050502106,05,0505,050502,252,189
P050502107,05,0505,050502,252,189
P050502108,05,0505,050502,252,189
P050502109,05,0505,050502,252,189
P050502110,05,0505,050502,252,189
P050502111,05,0505,050502,252,189
P050502112,05,0505,050502,252,189
P050502113,05,0505,050502,252,189
P050502114,05,0505,050502,252,189
P050502115,05,0505,050502,252,189
P050502116,05,0505,050502,252,189
P050502117,05,0505,050502,261,196
P050502118,05,0505,050502,261,196
P050502119,05,0505,050502,261,196
P050502120,05,0505,050502,261,196
P050502121,05,0505,050502,261,196
P050502122,05,0505,050502,261,196
P050502123,05,0505,050502,261,196
P050502124,05,0505,050502,261,196
P050502125,05,0505,050502,270,203
P050502126,05,0505,050502,270,203
P050502127,05,0505,050502,270,203
P050502128,05,0505,050502,270,203
P050502129,05,0505,050502,270,203
P050502130,05,0505,050502,275,206
P050502131,05,0505,050502,275,206
P050502132,05,0505,050502,275,206
P050502133,05,0505,050502,280,210
P050502134,05,0505,050502,280,210
P050502135,05,0505,050502,280,210
P050502136,05,0505,050502,280,210
P050502137,05,0505,050502,285,214
P050502138,05,0505,050502,288,216
P050502139,05,0505,050502,288,216
P050502140,05,0505,050502,295,221
P050502141,05,0505,050502,297,223
P050502142,05,0505,050502,297,223
P050502143,05,0505,050502,300,225
P050502144,05,0505,050502,315,236
P050502145,05,0505,050502,315,236
P050502146,05,0505,050502,315,236
P050502147,05,0505,050502,333,250
P050502148,05,0505,050502,333,250
P050502149,05,0505,050502,333,250
P050502150,05,0505,050502,333,250
P050502151,05,0505,050502,333,250
P050502152,05,0505,050502,342,257
P050502153,05,0505,050502,342,257
P050502154,05,0505,050502,342,257
P050502155,05,0505,050502,342,257
P050502156,05,0505,050502,351,263
P050502157,05,0505,050502,351,263
P050502158,05,0505,050502,351,263
P050502159,05,0505,050502,351,263
P050502160,05,0505,050502,351,263
P050502161,05,0505,050502,351,263
P050502162,05,0505,050502,351,263
P050502163,05,0505,050502,358,269
P050502164,05,0505,050502,360,270
P050502165,05,0505,050502,375,281
P050502166,05,0505,050502,380,285
P050502167,05,0505,050502,380,285
P050502168,05,0505,050502,380,285
P050502169,05,0505,050502,432,324
P050502170,05,0505,050502,468,351
P050502171,05,0505,050502,475,356
P050502172,05,0505,050502,598,449
P050502173,05,0505,050502,980,735
P050502174,05,0505,050502,980,735
P050503001,05,0505,050503,80,60
P050503002,05,0505,050503,153,115
P050503003,05,0505,050503,180,135
P050503004,05,0505,050503,198,149
P050503005,05,0505,050503,198,149
P050503006,05,0505,050503,216,162
P050503007,05,0505,050503,216,162
P050503008,05,0505,050503,216,162
P050503009,05,0505,050503,225,169
P050503010,05,0505,050503,225,169
P050503011,05,0505,050503,225,169
P050503012,05,0505,050503,225,169
P050503013,05,0505,050503,225,169
P050503014,05,0505,050503,234,176
